age,experience,education,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match,years_in_role,promotion_count,employment_type,location_type,company_size,job_satisfaction,salary
24,7,Masters,Junior,Finance,Manager,1,2,3,56,7,3,7.912019568,7.832916889,3,1,Full-time,Urban,Medium,4,57545.51983
53,2,Bachelors,Junior,IT,Clerk,4,18,3,50,19,11,4.362620244,6.004962599,6,0,Full-time,Rural,Medium,4,51024.57536
43,14,Masters,Mid,IT,Engineer,1,19,1,44,18,2,8.641647448,8.726149003,2,3,Part-time,Semi-Urban,Large,2,91913.02625
32,3,Bachelors,Junior,Finance,Engineer,5,4,2,51,7,1,6.09931716,5.102623998,0,2,Full-time,Urban,Small,1,56080.46596
33,19,Masters,Senior,Finance,Engineer,5,7,9,31,19,13,4.301078423,7.288423088,5,3,Contract,Semi-Urban,Medium,3,99002.18613
39,2,Bachelors,Junior,Sales,Manager,5,16,2,52,2,11,8.781503835,7.62581602,9,3,Part-time,Semi-Urban,Medium,5,86006.48306
42,22,Bachelors,Senior,IT,Manager,1,9,9,50,4,10,4.737848306,6.802419288,1,4,Part-time,Semi-Urban,Medium,1,95924.75145
44,17,PhD,Junior,IT,Clerk,4,2,0,58,11,14,2.087653047,4.000179383,7,2,Full-time,Urban,Large,3,94988.86831
32,27,Masters,Senior,Finance,Clerk,2,9,0,43,7,12,8.821658393,4.911509754,2,4,Part-time,Semi-Urban,Medium,2,102044.4701
26,18,PhD,Mid,HR,Manager,2,19,6,39,4,14,1.244816585,7.211891484,8,2,Part-time,Semi-Urban,Small,4,79999.08637
31,19,Bachelors,Junior,HR,Manager,5,17,3,43,8,12,6.333234031,7.650584313,8,3,Contract,Urban,Large,3,110570.9352
59,22,Bachelors,Junior,Finance,Manager,1,1,4,39,16,6,2.761785523,6.850364796,1,4,Part-time,Rural,Medium,2,98856.22328
54,18,PhD,Senior,Finance,Analyst,2,8,3,46,4,7,8.617936176,1.594477282,1,0,Contract,Rural,Large,3,88743.30891
41,18,Bachelors,Mid,HR,Analyst,3,10,7,40,17,7,4.072910868,5.946919772,8,0,Contract,Rural,Small,2,94737.21459
44,11,PhD,Senior,Sales,Manager,1,11,2,49,10,6,4.928130398,9.021002993,5,4,Contract,Semi-Urban,Small,1,63999.33399
31,26,PhD,Junior,Sales,Engineer,3,15,0,45,3,14,9.526527603,1.45256429,9,2,Full-time,Rural,Large,3,110933.6048
36,10,Masters,Senior,IT,Engineer,2,13,7,57,5,9,5.758056346,4.016001695,3,0,Part-time,Rural,Medium,2,68759.25838
39,26,Masters,Senior,Sales,Clerk,5,13,0,31,18,14,2.425296826,8.432678148,2,1,Part-time,Semi-Urban,Medium,3,128057.5106
24,1,Bachelors,Junior,HR,Manager,5,6,3,50,0,12,2.684488847,3.232535906,0,3,Contract,Rural,Large,4,61432.53193
24,8,Bachelors,Mid,Finance,Analyst,4,8,9,46,14,3,3.124740194,1.785078829,4,3,Part-time,Semi-Urban,Small,4,63886.83479
25,18,PhD,Junior,Finance,Analyst,1,14,0,57,4,8,4.146377091,5.233688609,3,3,Part-time,Urban,Small,2,84367.80342
50,4,PhD,Senior,IT,Analyst,3,18,2,52,16,6,1.819101052,6.629823813,9,4,Part-time,Urban,Medium,5,59604.88963
24,5,Masters,Mid,Sales,Clerk,5,10,3,35,1,8,7.18889442,8.160680517,0,4,Part-time,Rural,Medium,2,66187.71104
26,24,Masters,Junior,Sales,Engineer,2,9,7,51,4,6,3.928952253,1.646953527,0,3,Full-time,Rural,Large,1,80620.29648
32,9,PhD,Senior,Finance,Analyst,1,13,6,50,4,2,2.842334869,1.768498895,0,4,Part-time,Urban,Medium,3,68734.53354
49,3,Masters,Senior,Finance,Engineer,2,13,8,47,19,14,8.515475772,1.153441904,8,3,Part-time,Rural,Medium,1,45598.60606
34,28,PhD,Junior,HR,Clerk,3,17,9,38,18,3,4.434546751,8.88304516,3,0,Full-time,Urban,Small,3,100393.2009
48,9,Bachelors,Junior,HR,Analyst,5,12,0,55,14,4,9.87186542,1.233895005,6,2,Full-time,Semi-Urban,Large,4,77260.53943
30,16,Masters,Senior,Sales,Engineer,2,14,8,37,18,9,2.505524708,6.648829439,2,1,Part-time,Urban,Medium,4,82874.12003
21,10,Masters,Mid,IT,Clerk,4,18,6,46,10,4,5.521568666,6.36104205,8,0,Contract,Rural,Medium,4,94523.81913
46,20,Bachelors,Senior,Finance,Manager,2,10,9,46,12,1,1.250143152,5.030340682,1,0,Part-time,Semi-Urban,Large,3,74045.55197
26,19,Bachelors,Junior,HR,Manager,4,13,3,35,18,8,9.262659019,9.06848616,2,1,Part-time,Semi-Urban,Large,2,91586.84241
